type,file,measure,value
ocel,runningExample_amin,number of corr,7
ocel,runningExample_amin,number of corr (Time),0.0
ocel,runningExample_amin,filter on event time (Time),0.009630918502807617
ocel,runningExample_amin,filter on object types (Time),0.005056142807006836
ocel,runningExample_amin,filter on object types and time (Time),0.0
ocel,runningExample_amin,filter on objects (Time),0.015626192092895508
ocel,runningExample_amin,filter on objects and time (Time),0.00882267951965332
ocel,runningExample_amin,load (Time),0.009952545166015625
ocel,runningExample_amin,number of logs,1
ocel,runningExample_amin,number of logs (Time),0.0
ocel,runningExample_amin,number of events,4
ocel,runningExample_amin,number of events (Time),0.0
ocel,runningExample_amin,number of activities,3
ocel,runningExample_amin,number of activities (Time),0.0
ocel,runningExample_amin,number of observed,4
ocel,runningExample_amin,number of observed (Time),0.0
ocel,runningExample_amin,number of objects,3
ocel,runningExample_amin,number of objects (Time),0.0
ocel,runningExample_amin,number of df,4
ocel,runningExample_amin,number of df (Time),0.015560388565063477
ocel,runningExample_amin,number of corr,7
ocel,runningExample_amin,number of corr (Time),0.0
ocel,runningExample_amin,filter on event time (Time),0.0069959163665771484
ocel,runningExample_amin,filter on object types (Time),0.005208730697631836
ocel,runningExample_amin,filter on object types and time (Time),0.005681753158569336
ocel,runningExample_amin,filter on objects (Time),0.0
ocel,runningExample_amin,filter on objects and time (Time),0.015608549118041992
neo4j,BPIC16i,number of logs,1
neo4j,BPIC16i,number of logs (Time),0.02288508415222168
neo4j,BPIC16i,number of events,7360146
neo4j,BPIC16i,number of events (Time),0.017272233963012695
neo4j,BPIC16i,number of df,35681967
neo4j,BPIC16i,number of df (Time),0.029801130294799805
neo4j,BPIC16i,number of activities,620
neo4j,BPIC16i,number of activities (Time),0.016684532165527344
neo4j,BPIC16i,number of objects,748913
neo4j,BPIC16i,number of objects (Time),6.48206353187561
neo4j,BPIC16i,number of observed,7360146
neo4j,BPIC16i,number of observed (Time),0.021526098251342773
neo4j,BPIC16i,number of corr,36430880
neo4j,BPIC16i,number of corr (Time),61.88741850852966
neo4j,BPIC16i,filter on event time,0
neo4j,BPIC16i,filter on event time (Time),0.16436409950256348
neo4j,BPIC16i,filter on object types,0
neo4j,BPIC16i,filter on object types (Time),1.2844603061676025
neo4j,BPIC16i,filter on object types and time,0
neo4j,BPIC16i,filter on object types and time (Time),0.06743335723876953
neo4j,BPIC16i,filter on objects,0
neo4j,BPIC16i,filter on objects (Time),0.0699167251586914
neo4j,BPIC16i,filter on objects and time,0
neo4j,BPIC16i,filter on objects and time (Time),0.08125638961791992
neo4j,BPIC15i,number of logs,5
neo4j,BPIC15i,number of logs (Time),0.0417635440826416
neo4j,BPIC15i,number of events,262628
neo4j,BPIC15i,number of events (Time),0.019785642623901367
neo4j,BPIC15i,number of df,1044650
neo4j,BPIC15i,number of df (Time),0.035355329513549805
neo4j,BPIC15i,number of activities,356
neo4j,BPIC15i,number of activities (Time),0.015726089477539062
neo4j,BPIC15i,number of objects,5862
neo4j,BPIC15i,number of objects (Time),0.3814990520477295
neo4j,BPIC15i,number of observed,262628
neo4j,BPIC15i,number of observed (Time),0.013407230377197266
neo4j,BPIC15i,number of corr,1050512
neo4j,BPIC15i,number of corr (Time),1.4037988185882568
neo4j,BPIC15i,filter on event time,0
neo4j,BPIC15i,filter on event time (Time),0.18002772331237793
neo4j,BPIC15i,filter on object types,0
neo4j,BPIC15i,filter on object types (Time),0.09220314025878906
neo4j,BPIC15i,filter on object types and time,0
neo4j,BPIC15i,filter on object types and time (Time),0.0685415267944336
neo4j,BPIC15i,filter on objects,0
neo4j,BPIC15i,filter on objects (Time),0.07235860824584961
neo4j,BPIC15i,filter on objects and time,0
neo4j,BPIC15i,filter on objects and time (Time),0.09473323822021484
neo4j,BPIC17i,number of logs,1
neo4j,BPIC17i,number of logs (Time),0.030173301696777344
neo4j,BPIC17i,number of events,1202267
neo4j,BPIC17i,number of events (Time),0.021035432815551758
neo4j,BPIC17i,number of df,2298372
neo4j,BPIC17i,number of df (Time),0.03041553497314453
neo4j,BPIC17i,number of activities,92
neo4j,BPIC17i,number of activities (Time),0.014565706253051758
neo4j,BPIC17i,number of objects,106162
neo4j,BPIC17i,number of objects (Time),3.1078364849090576
neo4j,BPIC17i,number of observed,2404534
neo4j,BPIC17i,number of observed (Time),0.021024465560913086
neo4j,BPIC17i,number of corr,2404534
neo4j,BPIC17i,number of corr (Time),3.037069082260132
neo4j,BPIC17i,filter on event time,0
neo4j,BPIC17i,filter on event time (Time),0.18145132064819336
neo4j,BPIC17i,filter on object types,0
