Analysis,Number Of Events,Loading Time,DFG Calculation Time,Total Time
pm4py,3346592,54.09049173999665,3.7738224410022667,57.86431418099892
pm4py,3399893,58.57965539699944,3.935005507999449,62.51466090499889
pm4py,3450235,60.004260530000465,4.054112395999255,64.05837292599972
pm4py,3487934,56.83444432500255,3.8859927209996385,60.72043704600219
pm4py,3496013,55.473958136000874,3.9926101780001773,59.46656831400105
pm4py,3507277,56.37807127600172,3.8578541739989305,60.23592545000065
pm4py,3564827,55.24577128300007,4.176148025999282,59.42191930899935
pm4py,3616792,55.75014850200023,3.9308041670010425,59.68095266900127
pm4py,3671666,56.04724558200178,4.112474888999714,60.15972047100149
pm4py,3723521,54.28800691500146,4.00967558299817,58.29768249799963
pm4py,3762232,54.43864254399887,4.177812739999354,58.61645528399822
pm4py,3771019,54.87652158199853,4.3295582000027935,59.206079782001325
pm4py,3776065,55.555865721999,4.167569665001793,59.72343538700079
pm4py,3836525,55.40438513099798,4.2628464059998805,59.66723153699786
pm4py,3890754,55.2669836870009,4.246683993998886,59.51366768099979
pm4py,3942170,56.32485841599919,4.601605267002014,60.9264636830012
pm4py,3991368,55.548638711999956,4.480558879000455,60.02919759100041
pm4py,4028872,53.17685019000055,4.129651639999793,57.30650183000034
pm4py,4038644,52.08734809600355,4.12588163199689,56.21322972800044
pm4py,4050424,52.19594620799762,4.126879187002487,56.32282539500011
pm4py,4109475,51.92089994100024,4.343868105999718,56.26476804699996
pm4py,4167523,51.492412857998715,4.291717701002199,55.784130559000914
pm4py,4222132,52.0179745830028,4.600640905999171,56.61861548900197
