Analysis,CPU Limit,MEMORY Limit,Loading Time,DFG Calculation Time,Total Time
neo4j,3.5,2560m,0,661.4799555000002,661.4799555000002
neo4j,3.5,3072m,0,283.5573334,283.5573334
neo4j,3.5,3584m,0,188.8637187,188.8637187
neo4j,3.5,4096m,0,153.62491719999997,153.62491719999997
neo4j,3.5,512m,0,2102.1058942,2102.1058942
neo4j,4.0,1024m,0,1446.4253368,1446.4253368
neo4j,4.0,1536m,0,1343.1577297000001,1343.1577297000001
neo4j,4.0,2048m,0,800.7834095,800.7834095
neo4j,4.0,2560m,0,646.9121017000001,646.9121017000001
neo4j,4.0,3072m,0,195.2241677,195.2241677
neo4j,4.0,3584m,0,185.46525459999998,185.46525459999998
neo4j,4.0,512m,0,2087.5013581000007,2087.5013581000007
neo4j,4.0,4096m,0,148.2066544,148.2066544
